Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
15 St-Prospect Park ,"IND Culver Line (F,G)","1,449,241","1,852,346","2,005,424","2,017,347","2,011,237","1,958,444","-52,793",-2.60%,258,Brooklyn
18 Av ,"BMT West End Line (D,M)","1,654,305","1,661,770","1,954,729","1,996,205","1,925,239","2,003,777","78,538",4.10%,251,Brooklyn
18 Av ,IND Culver Line (F),"1,306,839","1,294,568","1,313,344","1,277,024","1,392,552","1,344,286","-48,266",-3.50%,320,Brooklyn
18 Av ,"BMT Sea Beach Line (N,W)","1,828,462","1,819,255","1,641,928","1,775,695","1,784,992","723,187","-1,061,805",-59.50%,389,Brooklyn
20 Av ,"BMT West End Line (D,M)","1,370,001","1,377,648","1,547,029","1,564,060","1,592,525","1,656,437","63,912",4.00%,287,Brooklyn
20 Av ,"BMT Sea Beach Line (N,W)","1,220,065","1,245,145","1,286,961","1,305,487","1,279,525","409,416","-870,109",-68.00%,411,Brooklyn
25 Av ,BMT West End Line (D),"1,266,146","1,206,526","1,421,090","1,488,192","1,508,412","1,992,945","484,533",32.10%,254,Brooklyn
25 St ,"BMT 4th Ave Line (D,M,N,R,W)","1,243,737","1,198,226","1,218,842","1,274,939","1,221,949","1,188,884","-33,065",-2.70%,338,Brooklyn
36 St ,"BMT 4th Ave Line (D,M,N,R,W)","3,659,139","3,772,420","3,826,400","3,970,318","4,138,929","4,235,509","96,580",2.30%,118,Brooklyn
4 Av-9 St ,"IND Culver Line (F,G) & BMT 4th Ave Line (D,M,N,R,W)","4,020,665","4,300,400","4,210,873","4,120,946","4,199,208","4,138,758","-60,450",-1.40%,124,Brooklyn
45 St ,"BMT 4th Ave Line (R,W)","2,328,141","2,255,877","2,251,217","2,323,521","2,321,241","2,228,315","-92,926",-4.00%,223,Brooklyn
50 St ,"BMT West End Line (D,M)","897,609","941,157","1,021,409","1,009,971","968,612","1,012,356","43,744",4.50%,362,Brooklyn
53 St ,"BMT 4th Ave Line (R,W)","2,401,105","2,357,449","2,387,370","2,405,353","2,374,338","2,334,471","-39,867",-1.70%,216,Brooklyn
55 St ,"BMT West End Line (D,M)","586,282","546,080","601,931","603,320","595,157","665,488","70,331",11.80%,394,Brooklyn
59 St ,"BMT 4th Ave Line (N,R,W)","3,819,141","3,848,745","3,968,334","4,094,658","4,158,863","4,169,280","10,417",0.30%,122,Brooklyn
7 Av ,"BMT Brighton Line aka East 16th Street Line (B,Q)","2,953,368","2,824,839","2,905,400","2,932,926","2,980,366","2,943,272","-37,094",-1.20%,176,Brooklyn
7 Av ,"IND Culver Line (F,G)","3,934,545","3,699,471","3,904,986","3,886,594","3,780,126","3,700,321","-79,805",-2.10%,140,Brooklyn
71 St ,"BMT West End Line (D,M)","1,115,321","1,191,257","1,446,020","1,481,633","1,487,929","2,029,479","541,550",36.40%,248,Brooklyn
77 St ,BMT 4th Ave Line (R),"1,579,635","1,600,644","1,645,262","1,711,410","1,723,178","1,743,795","20,617",1.20%,280,Brooklyn
79 St ,"BMT West End Line (D,M)","1,633,616","1,651,785","1,949,861","2,041,896","2,043,471","2,137,349","93,878",4.60%,230,Brooklyn
8 Av ,"BMT Sea Beach Line (N,W)","3,484,429","3,559,576","3,677,764","3,851,372","3,796,909","4,586,559","789,650",20.80%,105,Brooklyn
86 St ,"BMT Sea Beach Line (N,W)","796,379","811,332","801,109","837,472","859,293","419,039","-440,254",-51.20%,410,Brooklyn
86 St ,BMT 4th Ave Line (R),"3,445,470","3,515,085","3,662,602","3,753,132","3,747,601","3,752,400","4,799",0.10%,138,Brooklyn
9 Av ,"BMT West End Line (D,M)","1,681,423","1,668,767","1,896,942","1,938,987","1,843,944","1,858,368","14,424",0.80%,263,Brooklyn
Alabama Av ,"BMT Jamaica Line (J,Z)","759,581","772,447","770,075","784,998","814,578","834,945","20,367",2.50%,378,Brooklyn
Atlantic Av-Barclays Ctr (Atlantic-Pacific St),"IRT Eastern Parkway Line (2,3,4,5) & BMT Brighton Line (B,Q) & BMT 4th Ave Line (D,M,N,R,W)","10,726,332","11,526,090","13,122,876","13,617,153","13,690,678","13,818,168","127,490",0.90%,21,Brooklyn
Atlantic Av ,BMT Canarsie Line (L),"427,914","444,960","482,835","535,041","422,505","436,300","13,795",3.30%,409,Brooklyn
Avenue H ,BMT Brighton Line (Q),"521,818","823,237","875,106","896,279","899,662","952,855","53,193",5.90%,367,Brooklyn
Avenue I ,IND Culver Line (F),"696,851","684,241","699,582","696,140","672,710","585,217","-87,493",-13.00%,399,Brooklyn
Avenue J ,BMT Brighton Line (Q),"2,085,557","1,807,574","1,867,576","1,850,087","1,848,674","1,867,727","19,053",1.00%,261,Brooklyn
Avenue M ,BMT Brighton Line (Q),"1,345,774","1,608,901","1,730,576","1,731,955","1,733,583","1,776,762","43,179",2.50%,277,Brooklyn
Avenue N ,IND Culver Line (F),"1,049,752","1,012,534","1,044,429","1,050,916","1,027,713","941,921","-85,792",-8.30%,369,Brooklyn
Avenue P ,IND Culver Line (F),"836,317","825,620","861,095","864,424","858,733","809,816","-48,917",-5.70%,380,Brooklyn
Avenue U ,IND Culver Line (F),"696,998","707,595","717,486","699,414","716,715","772,331","55,616",7.80%,386,Brooklyn
Avenue U ,"BMT Sea Beach Line (N,W)","1,244,178","1,297,870","1,211,062","1,251,276","1,253,349","456,533","-796,816",-63.60%,408,Brooklyn
Avenue U ,BMT Brighton Line (Q),"2,136,714","2,071,874","2,176,073","2,175,035","2,231,577","2,332,985","101,408",4.50%,217,Brooklyn
Avenue X ,IND Culver Line (F),"854,737","860,597","908,520","892,170","589,962","727,220","137,258",23.30%,388,Brooklyn
Bay 50 St ,"BMT West End Line (D,M)","920,243","777,836","847,843","884,302","872,953","972,937","99,984",11.50%,365,Brooklyn
Bay Pkwy ,BMT West End Line (D),"2,018,400","2,038,864","2,298,420","2,362,284","2,368,617","2,578,524","209,907",8.90%,194,Brooklyn
Bay Pkwy ,IND Culver Line (F),"434,564","464,906","487,308","478,322","460,536","406,793","-53,743",-11.70%,412,Brooklyn
Bay Pkwy ,"BMT Sea Beach Line (N,W)","2,160,569","2,221,968","2,243,082","2,342,792","2,298,369","3,435,240","1,136,871",49.50%,149,Brooklyn
Bay Ridge Av ,BMT 4th Ave Line (R),"2,538,150","2,522,369","2,525,470","2,597,559","2,623,309","2,622,438",-871,0.00%,192,Brooklyn
Bay Ridge-95 St ,BMT 4th Ave Line (R),"1,769,432","1,809,829","1,830,193","1,858,200","1,865,038","1,853,049","-11,989",-0.60%,264,Brooklyn
Bedford Av ,BMT Canarsie Line (L),"7,738,863","8,342,397","9,214,395","9,892,516","9,388,289","9,688,560","300,271",3.20%,31,Brooklyn
Bedford-Nostrand Avs ,IND Crosstown Line (G),"2,012,606","2,138,852","2,348,998","2,513,681","2,634,066","2,697,942","63,876",2.40%,188,Brooklyn
Bergen St ,"IRT Eastern Parkway Line (2,3,4)","1,326,721","1,397,036","1,296,199","1,236,513","1,210,571","1,231,084","20,513",1.70%,331,Brooklyn
Bergen St ,"IND Culver Line (F,G)","3,452,452","3,529,174","3,650,848","3,711,317","3,708,300","3,599,389","-108,911",-2.90%,143,Brooklyn
Beverley Rd ,BMT Brighton Line (Q),"1,095,502","950,243","737,652","838,970","899,663","953,903","54,240",6.00%,366,Brooklyn
Beverly Rd ,"IRT Nostrand Ave Line (2,5)","1,276,466","1,274,789","1,364,573","1,360,719","1,392,643","1,379,958","-12,685",-0.90%,314,Brooklyn
Brighton Beach ,"BMT Brighton Line (B,Q)","3,842,789","3,781,554","3,810,743","3,872,092","4,014,831","4,044,514","29,683",0.70%,127,Brooklyn
Broadway ,IND Crosstown Line (G),"995,856","1,023,397","1,071,877","1,124,407","1,313,362","1,397,227","83,865",6.40%,313,Brooklyn
Broadway Junction ,"IND Fulton Street Line (A,C) & BMT Jamaica Line(J,M,Z) & BMT Canarsie Line (L)","2,810,713","2,862,830","2,948,156","3,018,656","3,133,658","3,085,401","-48,257",-1.50%,166,Brooklyn
Bushwick Av-Aberdeen St ,BMT Canarsie Line (L),"405,385","427,032","490,042","563,577","598,393","672,880","74,487",12.40%,393,Brooklyn
Canarsie-Rockaway Pkwy ,BMT Canarsie Line (L),"3,865,823","3,920,243","4,062,690","4,175,970","4,024,313","3,897,784","-126,529",-3.10%,129,Brooklyn
